ID,Segmentation
-1.765556755611593,2
-1.763608379172092,3
-1.7612703274446908,3
-1.76010130158099,2
-1.7593219510051896,2
-1.7581529251414891,3
-1.756204548701988,3
-1.755814873414088,4
-1.7554251981261877,4
-1.7550355228382875,4
-1.7519181205350858,3
-1.7511387699592853,3
-1.748800718231884,3
-1.7484110429439839,2
-1.7472420170802834,1
-1.7460729912165827,3
-1.7452936406407822,2
-1.7437349394891815,3
-1.7386691607464788,1
-1.737500134882778,1
-1.7363311090190774,4
-1.7324343561400755,3
-1.7312653302763747,1
-1.7300963044126743,1
-1.726199551533672,1
-1.7258098762457719,3
-1.72230279865467,2
-1.7199647469272688,2
-1.716847344624067,3
-1.7160679940482666,3
-1.7156783187603666,3
-1.714898968184566,3
-1.7145092928966659,4
-1.7141196176087656,3
-1.7133402670329652,3
-1.7106125400176637,1
-1.7098331894418635,4
-1.7082744882902625,3
-1.7067157871386618,4
-1.705546761274961,2
-1.7028190342596596,1
-1.6989222813806575,3
-1.6985326060927575,3
-1.6981429308048572,1
-1.697753255516957,1
-1.696194554365356,3
-1.6950255285016556,1
-1.6946358532137553,3
-1.694246177925855,4
-1.6930771520621544,3
-1.6907391003347532,2
-1.690349425046853,3
-1.6895700744710527,1
-1.6891803991831524,1
-1.6860629968799508,1
-1.6856733215920505,1
-1.68489397101625,4
-1.6802178675614476,3
-1.6798281922735474,3
-1.6794385169856472,3
-1.6786591664098467,3
-1.6782694911219467,3
-1.677100465258246,3
-1.6755417641066452,1
-1.6747624135308448,3
-1.6743727382429445,3
-1.6739830629550443,3
-1.6728140370913436,1
-1.6720346865155433,2
-1.6693069595002419,2
-1.6689172842123416,1
-1.6661895571970402,2
-1.6650205313333395,2
-1.6587857267269361,4
-1.658396051439036,3
-1.6576167008632356,4
-1.6560579997116347,3
-1.6506025456810318,3
-1.6494335198173313,4
-1.649043844529431,2
-1.6486541692415309,1
-1.6482644939536306,3
-1.6474851433778301,2
-1.6459264422262294,3
-1.641640014059327,1
-1.6404709881956265,4
-1.6381329364682253,4
-1.6373535858924249,4
-1.6365742353166244,4
-1.635794884740824,4
-1.6291704048465205,1
-1.6272220284070193,3
-1.6260530025433189,2
-1.6252736519675184,3
